trade_id,version,trade_date,maturity_date,counterparty,notional,currency,trade_type,status,ingested_at
e7cc80bc-5da8-4d38-9200-294731277aaa,3,2026-02-26,2028-04-09,Bell-Smith,5120456.6,AUD,OPTION,ACTIVE,2026-05-31 14:45:05
b9571477-9166-4e8e-9953-0dd90e641c21,1,2026-03-23,2027-12-11,Salazar Hansen and Hopkins,19519797.34,USD,OPTION,ACTIVE,2026-05-31 14:45:05
7edc3a06-4824-4b68-a8d1-7fd212bb08b5,1,2025-09-29,2029-01-07,Murray and Sons,22446695.29,AUD,OPTION,ACTIVE,2026-05-31 14:45:05
ee5c62be-3077-4b1d-9451-b4db1e75d8cf,1,2025-10-09,2030-03-25,Thomas Zamora and Jones,29271126.04,GBP,FUTURE,ACTIVE,2026-05-31 14:45:05
e08dcb4d-011c-447a-9c3c-388c571f842f,2,2026-05-08,2029-07-30,Hobbs PLC,122508.7,INR,FORWARD,ACTIVE,2026-05-31 14:45:05
c219afa0-a219-4772-bcd0-e8213e802258,1,2026-04-24,2031-03-02,Robinson PLC,44307985.16,USD,FORWARD,ACTIVE,2026-05-31 14:45:05
f292a81b-b895-44db-b371-3b5111e4ec60,2,2026-05-28,2031-05-24,Smith and Sons,39629897.08,AUD,FUTURE,ACTIVE,2026-05-31 14:45:05
d0b8b0d5-a6cf-4dd5-bbe8-c4e2189419ad,1,2026-03-29,2029-09-25,Jensen and Sons,0,GBP,FORWARD,ACTIVE,2026-05-31 14:45:05
e08dcb4d-011c-447a-9c3c-388c571f842f,1,2025-11-11,2030-03-24,Wyatt-Peterson,18566994.92,AUD,FORWARD,ACTIVE,2026-05-31 14:45:05
b48743a5-7c67-4443-bb4e-98dbf281bb9e,1,2025-07-21,2027-03-09,Clark-Gonzalez,15348309.48,USD,FORWARD,ACTIVE,2026-05-31 14:45:05
9ffabda4-4cbf-494d-abc7-ac38165fd2b2,2,2025-12-09,2029-03-25,Williams and Sons,24559669.51,CHF,BOND,ACTIVE,2026-05-31 14:45:05
